config,throughput_mean_mean,throughput_mean_std,throughput_mean_min,throughput_mean_max,latency_p50_mean,latency_p50_std,latency_p90_mean,latency_p90_std,latency_p99_mean,latency_p99_std,error_rate_mean,error_rate_max,cpu_avg_mean,cpu_avg_max,cpu_peak_mean,cpu_peak_max,load_avg_1m_mean,load_avg_1m_max,total_queue_mean,total_queue_max,total_rejected_sum,total_rejected_max,max_queue_mean,max_queue_max,write_queue_mean,write_queue_max,search_queue_mean,search_queue_max,nodes_first,clients_first,docs_per_node,latency_per_gb,queue_pressure,write_efficiency
100_16-16,551233.51,8901.71,538920.12,560158.3,1744.55,73.86,2848.43,110.7,3853.13,273.74,0.0,0.0,75.88,76.67,91.25,92,337.03,366.49,265.0,511,0,0,75.0,137,265.0,511,0.0,0,16,100,34452.094375,385.313,265.0,2072.3064285714286
100_20-20,544251.3,12416.01,526073.53,552292.35,1803.75,46.29,2907.19,112.38,3774.31,189.06,0.0,0.0,74.92,75.33,91.25,93,328.05,348.87,267.75,482,0,0,68.75,105,267.75,482,0.0,0,20,100,27212.565000000002,377.431,267.75,2025.1211162790698
100_24-24,536533.81,13848.3,516026.75,546426.78,1851.48,41.76,2835.66,31.89,3786.22,153.32,0.0,0.0,74.67,75.0,90.75,92,327.38,349.31,150.0,292,0,0,33.0,73,150.0,292,0.0,0,24,100,22355.57541666667,378.62199999999996,150.0,3553.2040397350997
100_28-28,532623.66,11290.67,516979.02,542393.99,1825.81,90.61,2837.98,110.12,3892.09,200.56,0.0,0.0,75.5,76.16,91.75,93,338.99,369.88,115.5,163,0,0,26.0,46,115.5,163,0.0,0,28,100,19022.273571428574,389.209,115.5,4571.876909871245
100_32-32,524715.66,26372.13,488541.22,546818.78,1831.4,135.42,2869.66,140.96,3864.33,289.17,0.03,0.03,76.08,78.83,91.25,92,341.59,376.82,46.25,63,0,0,4.25,8,46.25,63,0.0,0,32,100,16397.364375,386.433,46.25,11105.093333333334
60_16-16,573818.91,13284.38,555575.41,585448.34,827.99,50.34,1864.92,62.52,2455.9,125.48,0.0,0.0,67.92,75.33,90.75,92,381.06,410.25,156.5,220,0,0,22.0,43,156.5,220,0.0,0,16,60,35863.681875,245.59,156.5,3643.2946666666667
60_20-20,514448.44,8934.57,503454.29,523693.88,1070.03,26.78,1897.25,32.58,2464.59,107.16,0.0,0.0,72.45,73.17,88.5,90,350.44,382.79,100.25,235,0,0,14.75,33,100.25,235,0.0,0,20,60,25722.422,246.459,100.25,5080.97224691358
60_24-24,504658.39,13233.13,485602.94,515636.36,1125.15,19.33,1872.44,80.31,2442.11,148.06,0.0,0.0,72.15,72.62,87.75,90,393.27,471.48,34.0,64,0,0,6.0,12,34.0,64,0.0,0,24,60,21027.43291666667,244.211,34.0,14418.811142857143
60_28-28,497550.09,21139.5,470373.64,521999.2,1145.29,26.61,1902.9,51.63,2539.84,79.21,0.0,0.0,70.63,73.33,87.75,90,351.25,373.11,81.5,151,0,0,7.0,13,81.5,151,0.0,0,28,60,17769.64607142857,253.984,81.5,6030.9101818181825
60_32-32,493410.11,19994.74,466091.15,513967.44,1187.58,83.02,1844.0,99.25,2425.53,162.14,0.0,0.0,74.01,75.33,89.0,91,366.05,402.86,168.0,228,0,0,33.25,88,168.0,228,0.0,0,32,60,15419.0659375,242.55300000000003,168.0,2919.586449704142
70_16-16,540307.6,9350.44,530599.5,552929.08,1165.38,39.51,2007.92,179.84,2590.79,235.64,0.0,0.0,75.51,76.83,92.0,93,387.31,458.97,104.0,169,0,0,17.0,22,103.75,169,0.0,0,16,70,33769.225,259.079,104.0,5158.067780429594
70_20-20,538881.73,13429.84,519323.84,547821.34,1150.86,23.72,1894.99,68.36,2511.47,121.07,0.0,0.0,76.16,76.5,91.75,92,418.65,470.55,155.25,220,0,0,36.5,48,155.25,220,0.0,0,20,70,26944.086499999998,251.147,155.25,3448.8430719999997
70_24-24,503841.53,12318.61,486118.35,514661.25,1325.62,57.69,2257.82,42.8,2914.92,84.19,0.0,0.0,72.54,73.17,87.25,89,399.22,407.37,265.5,549,0,0,44.25,82,265.5,549,0.0,0,24,70,20993.397083333333,291.492,265.5,1890.587354596623
70_28-28,495774.22,23727.71,461534.4,516235.99,1353.76,34.17,2198.48,71.9,2859.69,142.83,0.0,0.0,72.62,74.0,89.0,92,360.51,379.62,77.75,212,0,0,14.25,28,77.75,212,0.0,0,28,70,17706.222142857143,285.969,77.75,6295.545650793651
70_32-32,484885.75,15204.97,462089.63,493025.78,1448.83,24.16,2232.32,34.08,2875.52,85.58,0.0,0.0,72.97,73.56,88.0,90,367.11,386.97,100.75,147,0,0,7.0,8,100.75,147,0.0,0,32,70,15152.6796875,287.552,100.75,4765.461916461916
80_16-16,593303.97,12567.5,575766.83,603498.06,1006.13,9.65,2080.18,100.16,3014.29,185.91,0.0,0.0,73.29,75.8,93.75,95,312.01,346.32,70.0,98,0,0,13.0,19,70.0,98,0.0,0,16,80,37081.498125,301.429,70.0,8356.393943661971
80_20-20,552737.91,16279.04,528754.22,563248.18,1398.26,59.38,2268.95,108.42,3120.74,312.03,0.0,0.0,75.79,76.83,91.75,92,313.31,338.71,90.75,176,0,0,22.5,41,90.75,176,0.0,0,20,80,27636.895500000002,312.07399999999996,90.75,6024.391389645777
80_24-24,547777.92,14535.03,527839.03,562219.44,1364.26,27.72,2311.28,34.86,3045.93,127.76,0.0,0.0,75.3,76.06,91.0,92,318.58,361.47,86.0,111,0,0,23.75,38,86.0,111,0.0,0,24,80,22824.08,304.59299999999996,86.0,6296.297931034484
80_28-28,535239.69,18202.48,508722.54,549840.4,1433.74,38.57,2264.21,17.89,2904.83,72.2,0.0,0.0,74.96,76.33,90.25,92,306.52,337.26,70.0,116,0,0,10.25,19,70.0,116,0.0,0,28,80,19115.703214285713,290.483,70.0,7538.587183098591
80_32-32,523962.81,17566.56,498787.38,538452.58,1482.5,23.22,2334.82,49.24,3084.89,109.27,0.0,0.0,74.5,74.83,90.25,92,294.42,317.9,75.0,127,0,0,18.25,37,75.0,127,0.0,0,32,80,16373.8378125,308.489,75.0,6894.2475
90_16-16,562398.76,11393.35,547398.71,571989.51,1520.3,66.76,2421.61,75.08,3360.04,60.27,0.0,0.0,74.67,77.0,92.5,93,330.18,368.37,127.25,320,0,0,33.25,85,127.25,320,0.0,0,16,90,35149.9225,336.004,127.25,4385.175516569201
90_20-20,547992.51,9738.25,533919.2,555323.37,1610.82,29.91,2543.07,43.76,3295.15,151.84,0.0,0.0,75.25,75.82,91.0,92,336.35,369.82,149.25,264,0,0,42.25,112,149.25,264,0.0,0,20,90,27399.625500000002,329.515,149.25,3647.204725457571
90_24-24,539102.32,15531.17,516541.65,551693.19,1584.61,62.41,2598.43,115.58,3413.32,219.91,0.0,0.0,74.97,75.5,90.5,92,338.25,349.33,118.25,177,0,0,32.0,64,118.25,177,0.0,0,24,90,22462.596666666665,341.332,118.25,4520.774171907757
90_28-28,535037.68,18899.33,508507.47,553097.58,1633.15,31.18,2577.37,71.19,3417.53,191.39,0.0,0.0,74.71,76.82,91.0,92,338.55,372.67,118.0,179,0,0,21.0,41,118.0,179,0.0,0,28,90,19108.488571428574,341.75300000000004,118.0,4496.114957983194
90_32-32,528501.83,27254.57,488345.48,545577.31,1616.31,100.47,2546.61,91.2,3256.03,191.19,0.0,0.0,76.29,77.67,91.75,92,322.28,334.88,53.0,105,0,0,9.5,18,53.0,105,0.0,0,32,90,16515.6821875,325.603,53.0,9787.070925925926
